username,userid,profile_location,created_at,text,retweet_count,source,coordinates
cladee ⛷,1448787294924726272,"Brooklyn, NY",2023-01-22 20:14:41,recording homeless people’s train speeches and putting sturdy drill beats behind it,0,Twitter for iPhone,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 20:12:13,@DeborahPadgett5 @CatoInstitute It's puzzling why @CatoInstitute somehow presents the fact that #HousingFirst house… https://t.co/0DvQ5ZdeFH,0,Twitter for Android,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 20:09:12,"@DeborahPadgett5 @CatoInstitute Cato: ""Because #HousingFirst encourages the formerly homeless to remain in state‐​f… https://t.co/uwGqKYca9p",0,Twitter for Android,
Jake,1854074754,"New York, USA",2023-01-22 20:06:48,@CosterMichael1 It's illegal for both a billionaire (with multiple homes) and a homeless person (without any home)… https://t.co/6AyCQuhiXr,0,Twitter for Android,
Hella Doge,1425855603973447680,nyc,2023-01-22 19:52:02,@momenyl @danheld @michelletandler She doesn’t consider homeless people to be human - she is the scariest person on… https://t.co/cfo6Ir0FnR,0,Twitter for iPhone,
The Frost,1251578288230879233,"Brooklyn, NY",2023-01-22 19:31:24,"@JoesWorldView @SpeakForYourse6 @nytimes Crime is increasing  . . . under Democrat rule
Homicide at 3 year high . .… https://t.co/ahqxfjusB2",0,Twitter for Android,
Craving,21376458,NYC,2023-01-22 19:21:04,@IamJackBoot I don’t want to enter your dm’s nor do I want my account suspended…those blue check marks that aren’t… https://t.co/RuzRZT1aoL,0,Twitter for iPhone,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 19:18:16,"@DeborahPadgett5 @nypmetro @MaryBrosnahan There was also a lawsuit, #FifthAvenuePresbyterianChurch v. City of New Y… https://t.co/WujQJhB1um",0,Twitter for Android,
Jews for Racial & Economic Justice,123422038,"New York, NY",2023-01-22 19:17:08,".@M_hughesrob is guiding us through the long-term goals of #Tirdof’s #Bayit campaign:
1) Use all avail housing stoc… https://t.co/ext9GLPBP9",0,Twitter for iPhone,
cherie.laiken.king 🌻🌻🌻,76147467,"Brooklyn, NY",2023-01-22 19:16:08,"@FaithfulFortitu @KristinThorne I used to be homeless, what makes you think I can help. We need better and healthy… https://t.co/53bYks1AVe",0,Twitter for iPhone,
FromTheGMan,1328724724394979329,"Harlem, New York",2023-01-22 19:15:33,@MeekMill - Hi. My news office was informed you're looking for an African artist to design your next album cover. G… https://t.co/gCCAohGmgJ,0,Twitter Web App,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 19:14:16,"@DeborahPadgett5 @nypmetro Back in 1999, Mayor Giuliani's NYPD Commissioner Safir's proclamations were quickly disc… https://t.co/qkFlhld7ep",0,Twitter for Android,
Michael Russo,240711630,"Hoboken, USA",2023-01-22 19:09:04,"Hoboken must concentrate on additional housing needs outside the redevelopment process, including the needs of our… https://t.co/vzCtDMgjIq",0,Twitter Web App,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 19:07:20,"@judgeglock @DeborahPadgett5 @lian_yamouer ""Help"" is such a weasel word that everybody means a different thing by i… https://t.co/6GVheo1Kkd",0,Twitter for Android,
Jason Curtis Anderson,1241570477086310401,NYC,2023-01-22 19:06:31,Inna cares about stopping hate crimes the way Lincoln Restler cares about homeless people’s right to do fentanyl un… https://t.co/a3uSa1hvrG,1,Twitter for iPhone,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 19:02:53,@UnsafeStreetsUS @No1RDunn @UCLA_Grad @MayorOfLA @TraciParkforLA It was on private property and nobody seemed to mi… https://t.co/svLcihWYDj,1,Twitter for Android,
Rob the one who knows about things,1562968407469096962,"New York, NY",2023-01-22 19:00:00,@nypost She probably is homeless,0,Twitter for iPhone,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 18:59:58,"Folks who think (or say) that all homeless people are ""crazy, on drugs, or both"": read this. https://t.co/iHRd2Jj4Yr",0,Twitter for Android,
👤,1195331418,"Bronx, NY ",2023-01-22 18:56:44,"and that’s just registered voters in a city with over 100,000 houseless ppl and many migrant residents who can’t vo… https://t.co/Jfg0GX9ezl",1,Twitter for iPhone,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 18:52:43,"@ValerieRoss14 And it's sad that we haven't heard about any of these companies, except for #Related, and only becau… https://t.co/iR4Kdfrvtz",0,Twitter for Android,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 18:50:00,@UnsafeStreetsUS @No1RDunn @UCLA_Grad @MayorOfLA @TraciParkforLA #HouseTheHomeless and there will be no more homele… https://t.co/My1pwlUbOi,0,Twitter for Android,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 18:47:35,"@No1RDunn @UnsafeStreetsUS @UCLA_Grad @MayorOfLA @TraciParkforLA Ie., shelter workers kill homeless people too. Rem… https://t.co/6n3Vy0RQfU",0,Twitter for Android,
NYCrypto_Investor,1476737576774033408,"New York, USA",2023-01-22 18:43:56,I just gave away an irresistible slice of homemade cheesecake to a homeless person. What's my point? Instant gratif… https://t.co/ijsgjx7vTI,0,Twitter for Android,
K.G™,547528700,"New York, USA",2023-01-22 18:40:11,If I gotta work this hard for the dollar I’m with the homeless https://t.co/1tvqweE2nR,0,Twitter for iPhone,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 18:39:53,"Folks: don't push people or do anything else to them. They don't need it; you don't need it.
https://t.co/Urb5gPeWGz",0,Twitter for Android,
JQ LLC,1392942973499936768,Queens,2023-01-22 18:38:18,But with homeless people https://t.co/G1a5DMdVnT https://t.co/DUx3Sj4PAl,0,Twitter for Android,
Madeline M,1161601782,"New York, NY",2023-01-22 18:17:45,"NYC, aka Eric Adams, wants to fine homeless people now? There’s no bottom to the cruelty or stupidity. 

Check out… https://t.co/adSMhtrs0P",0,Twitter for iPhone,
Derrick Richard,1677305695,"New York City, NY",2023-01-22 18:09:13,@PeterBinNYC Tweeting just take a ride doesn't help them in anyway. If you see a homeless person on the train just… https://t.co/uJMvjsIwTl,0,Twitter Web App,
Peter,800722397603074049,"New York, NY",2023-01-22 18:02:32,@NYCTSubway @CurtisSliwa @NYCMayor Visited some friends in Queens ... R/M GRAND AVE Station has at least 10+ homele… https://t.co/adM3WEtbDp,0,Twitter for Android,
Shweebe,701129560721481728,"New York, USA",2023-01-22 17:56:12,"@pulte Enough to save my friend from going homeless. Even if it's just retweeting this so people can donate to it,… https://t.co/MtCOzYUecI",0,Twitter Web App,
MissCrayon 🌊🇺🇸,262948804,NYC,2023-01-22 17:27:58,New York City to Open Migrant Shelter at Brooklyn Cruise Terminal https://t.co/xhE2fb68Ok,0,Twitter Web App,
Steven Sanzone,1539589120611287043,"Brooklyn, NY",2023-01-22 17:24:48,@POTUS Homeless rights that's what we need think about more of how to fix the homeless problem in this States San F… https://t.co/yIscwYV3Le,0,Twitter for Android,
Phe,2372347440,"Brooklyn, NY",2023-01-22 17:19:47,Some woman keeps screaming someone call 911 I’m homeless 🫠,0,Twitter for iPhone,
Markiegee55 or Marc Garcia,1012381987682836480,"New York, USA",2023-01-22 17:16:05,Liked on YouTube: Convicted Murderer Tries to Give His Last Meal to the Homeless | Tales From the Bottle https://t.co/eUFMDtMffz,0,IFTTT,
Elie Diaz,19875923,"New York, NY",2023-01-22 17:14:53,"Great Sunday, on my way to the shelter where I volunteer and see my homeless I help every week!.",0,Twitter for iPhone,
Services for the UnderServed (S:US),156667809,New York City,2023-01-22 17:00:31,"Gov. Hochul signed a bill last month, allowing decisionally-capable runaway and #homeless youth to consent to their… https://t.co/y2hW2JnAkG",0,Twitter Web App,
J. hodl,1610049795699122176,"New York, NY",2023-01-22 16:48:56,"On a cold NYC Sunday morning, there is nothing more depressing than going to work in the dark dirty subway. Homeles… https://t.co/Hqz9Cpu3mC",0,Twitter for iPhone,
Lance Madsen,1432035742201507845,"New York, USA",2023-01-22 16:38:51,"@POTUS I go to work every morning, the only reward I have from your administration is higher taxes inflation and an… https://t.co/y5fnGlJuWg",0,Twitter for iPhone,
someecards,14094741,"New York, NY",2023-01-22 16:31:31,Not a lot of Steve fans here... https://t.co/QuvQRSBIlY,0,someecards app,
Chahk,38078437,"New York, NY",2023-01-22 16:26:17,"@mmpadellan GOP doesn't give a fuck about children, the poor, the homeless, or anyone besides their biggest donors.",0,Twitter for Android,
Igor Sidorkin,2192494548,Brooklyn,2023-01-22 16:10:58,@WallStreetSilv Also. Add several homeless people to the household to strengthen it through diversity. Their income… https://t.co/mGbIbSv3gK,0,Twitter for Android,
City Limits,82296803,New York City,2023-01-22 16:02:17,The same day Mayor Adams unveiled a preliminary budget focused on “fiscal discipline” &amp; 2 days after Gov. Hochul la… https://t.co/5AX4TQ1gWH,0,Hootsuite Inc.,
Him,423128855,"Bronx, NY",2023-01-22 16:01:46,"That 191 tunnel is full of piss, the homeless &amp; needles…. Ya worried about art.",0,Twitter for iPhone,
Megan macleod,4609196954,"Manhattan, NY",2023-01-22 15:55:25,@SoCalValleyGal How do you know? Also they may report a dead body but not report its homeless person. Especially if… https://t.co/rGg5D6aTaY,0,Twitter for iPhone,
Megan macleod,4609196954,"Manhattan, NY",2023-01-22 15:51:42,@SoCalValleyGal It’s terrible 😞 and only going to get worse with the housing market makes it impossible for people… https://t.co/4s5Ynh9DW7,0,Twitter for iPhone,
Steven Sanzone,1539589120611287043,"Brooklyn, NY",2023-01-22 15:45:20,@POTUS Please come up with the plan to help the homeless in this country go around and look at all the homeless cam… https://t.co/nTyg6lYHRx,0,Twitter for Android,
Megan macleod,4609196954,"Manhattan, NY",2023-01-22 15:26:19,@SoCalValleyGal Their better off in a hotel than on the street. Children shouldn’t be exposed to people shooting up… https://t.co/jSSRLN59Oa,0,Twitter for iPhone,
Purranormal,388032307,New york,2023-01-22 15:06:52,"@nyankoke Come to NYC, our whole subway system smells like pee, homeless, and mystery scent😗",0,Twitter for Android,
THE CITY,1043143916340559874,"New York, NY",2023-01-22 15:00:47,"Industry groups and advocates put the heat on Adams and Hochul to tap higher-than-expected tax revenue for housing,… https://t.co/2DDkDCCj2l",0,Buffer,
Law & Crime,4068337756,"Manhattan, NY",2023-01-22 15:00:02,Homeless Woman Indicted in the New Year’s Eve Knife Slayings of Couple in Florida Retirement Home https://t.co/gcFAuALMMx,2,TweetDeck,
BlaiseFit,1254609992944156673,New York ,2023-01-22 14:57:18,@Rideforonika @SouthlandPost Stay your ass in New York &amp; keep dealing with them subway homeless people,0,Twitter for iPhone,
Eric,3319195750,"New York, NY",2023-01-22 14:55:42,@LFCmeli @mikepompeo We have money going to the homeless. Your issue should be more with the trillions going to the… https://t.co/GkEYULpyMS,0,Twitter for iPhone,
The New York Times,807095,New York City,2023-01-22 14:55:04,Mayor Eric Adams announced that New York City would open a new emergency shelter in Brooklyn to help accommodate th… https://t.co/9rj83qmHw9,24,SocialFlow,
Dr. Buzz aka J. Buzz Von Ornsteiner,873604340359057409,"Brooklyn, New York",2023-01-22 14:52:12,"1950s film star Constance Smith was #BornOnThisDay, Jan. 22, 1928. Battling alcoholism, mental illness &amp; suicidal,… https://t.co/V5uxX6JTGI",3,Twitter Web App,
Pi$$ed off Patriot,957053454844923905,"New York, USA",2023-01-22 14:45:00,@ClownWorld_ Subsequently the Pelosi family is said to be homeless 🤪,0,Twitter for iPhone,
Kierkregards,1566553810113273858,New York City,2023-01-22 14:24:34,@LBC @clivebull The type where they give all that money to the homeless and single mothers,0,Twitter Web App,
